iv,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
Contrast 1,3.093016549246129e-5,0.025701951684944224,-0.24040319899105336,3297,0.02573597486698593,0.0013220086753096853,52728.745795584306,5149604.780072335,3288.544386458345,-0.554829238205151,0.07402284022304426,0.1604243587083518,"0.79 	 (0.57, 1.08)",0.57417029917646345,1.0768314002847073,M2
Contrast 2,3.53276922321357e-5,0.007662305693694552,0.022369244864485188,3297,0.007701166155149901,0.005046048958359717,3862.927696406856,353459.44379350625,3248.2472286600273,-0.1496305088174321,0.19436899854640244,0.0877562884080104,"1.02 	 (0.86, 1.21)",0.8610260591938831,1.214544365385635,M2
Contrast 3,4.02804397555413e-5,0.028953744587168522,0.26277244385553855,3297,0.02899805307089962,0.0015279813311177182,39615.91739257479,3854840.5014847857,3287.1616431996054,-0.0709862964119734,0.5965311841230505,0.17028814718264926,"1.30 	 (0.93, 1.82)",0.9314746565850835,1.8158091555908844,M2
Contrast 1,3.742446456756839e-5,0.022187110778058836,-0.1871360453508338,3297,0.02222827768908316,0.001852006331761065,27121.6390744331,2623962.204341937,3284.7822762660912,-0.4793501657711686,0.10507807506950093,0.14909150776983632,"0.83 	 (0.62, 1.11)",0.6191856291139993,1.1107973325491807,M3
Contrast 2,7.138901726151209e-5,0.012012273319971121,-0.030381331477956415,3297,0.012090801238958785,0.006494848226818245,2390.276669106244,213355.82077434714,3224.1321685062144,-0.24589662571883877,0.1851339627629259,0.10995817950002075,"0.97 	 (0.78, 1.20)",0.782003059751452,1.2033796373913126,M3
Contrast 3,1.4245401202332884e-4,0.03139316306817116,0.1567547138728774,3297,0.03154986248139682,0.004966722543340991,3981.863037650072,364840.2210537538,3249.4354087459683,-0.19138075067365815,0.5048901784194129,0.1776228095752255,"1.17 	 (0.83, 1.66)",0.8258180974867898,1.6568035576838864,M3
Contrast 1,2.599638810175774e-5,0.008750929724449725,-0.011915011077766905,3297,0.008779525751361658,0.0032571266058987777,8988.125058898615,848346.4156255123,3271.6039647484345,-0.19556218060640357,0.17173215845086975,0.09369912353571755,"0.99 	 (0.82, 1.19)",0.8223722063718464,1.1873597663408537,M4
Contrast 2,8.817573941412729e-5,0.04753601645408123,-0.4455193647762253,3297,0.04763300976743677,0.0020362625378723665,22508.623708075578,2170575.849620103,3283.3182989637908,-0.8732815061536147,-0.017757223398835953,0.21824987919226158,"0.64 	 (0.42, 0.98)",0.4175790103897276,0.9823995070223953,M4
Contrast 3,8.633111897942871e-5,0.05477088183406904,-0.4336043536984584,3297,0.05486584606494641,0.0017308441897525735,30985.091649602873,3004184.218566545,3285.7011502288015,-0.8926959111818431,0.02548720378492625,0.23423459621701148,"0.65 	 (0.41, 1.03)",0.4095501522865609,1.025814779639913,M4
Contrast 1,3.679857671656715e-4,0.01432062749218056,-0.1581332005521346,3299,0.014725411836062798,0.027488830084257104,185.3280289074097,11910.50006543166,2526.2822395810495,-0.39599568560552223,0.07972928450125302,0.12134830792418491,"0.85 	 (0.67, 1.08)",0.6730095995600226,1.0829938447679304,M5
Contrast 2,4.6876728198506603e-4,0.013914535248356579,0.014159539378777517,3299,0.01443017925854015,0.035733721733110235,123.10859206682031,7048.326393896571,2190.948087029472,-0.22132290698503188,0.24964198574258684,0.12012568109501044,"1.01 	 (0.80, 1.28)",0.8014578421666811,1.2835657995613377,M5
Contrast 3,0.0014824352609530593,0.02310064815314938,0.17229273993091213,3299,0.024731326940197744,0.06593575795554651,52.56080698513617,2070.1437492300515,1237.9692220272905,-0.13611537295096002,0.4807008528127842,0.1572619691476542,"1.19 	 (0.87, 1.62)",0.8727419358674302,1.6172074294796412,M5
Contrast 1,3.6417098192096165e-5,0.0128467340730423,-0.15633988891841727,3297,0.012886792881053606,0.003108516477377468,9842.437380153002,931399.8461757456,3273.2156313464047,-0.3788353109968764,0.066155533160041885,0.11352001092782543,"0.86 	 (0.68, 1.07)",0.6846583590846137,1.0683928747641285,M6
Contrast 2,1.4332208475871747e-4,0.022241455607825384,0.042626372402612724,3297,0.022399109901059974,0.007038417773338784,2054.193895043706,181673.85294502496,3213.929747742308,-0.25071030248504667,0.3359630472902721,0.1496633218295651,"1.04 	 (0.78, 1.40)",0.7782477953573566,1.3992873163975246,M6
Contrast 3,2.1719154436059421e-4,0.032411437270872784,0.19896626132103,3297,0.03265034796966944,0.00731724816588754,1909.6043024000192,168091.95972768118,3208.45827298116,-0.1551901638624501,0.5531226865045101,0.18069407286811995,"1.22 	 (0.86, 1.74)",0.8562523337495898,1.7386738831015647,M6
Contrast 1,7.087149751432777e-5,0.05333315297738002,-0.030405082415195794,3297,0.05341111162464578,0.0014595960446138266,43362.365053746544,4224517.892462363,3287.6319314860543,-0.48336943359939777,0.4225592687690061,0.23110844126653135,"0.97 	 (0.62, 1.53)",0.6167019508627953,1.5258616528653401,M7
Contrast 2,3.105654894469727e-5,0.009372227650902136,-0.102818867641508,3297,0.009406389854741303,0.0036318082034360395,7276.683874091488,682333.507658469,3267.3143810663264,-0.2929093394516902,0.08727160416867419,0.09698654470977561,"0.90 	 (0.75, 1.09)",0.746089778539544,1.091193012044808,M7
Contrast 3,1.0856012689499468e-4,0.05923552098400934,-0.0724137852263122,3297,0.05935493712359383,0.0020118990158448967,23047.142003907455,2223464.2603613734,3283.5164798979395,-0.5499174972578181,0.4050899268051937,0.24362868698819898,"0.93 	 (0.58, 1.50)",0.5769974122855612,1.4994373336031,M7
Contrast 1,5.298576984970513e-5,0.01143139353213418,-0.08962686034334919,3297,0.011489677878968856,0.005072757256438106,3824.1157689571837,349747.2817868508,3247.84404902592,-0.2997159603126671,0.12046223962596875,0.10718991500588503,"0.91 	 (0.74, 1.13)",0.7410286723443881,1.1280181457744656,M8
Contrast 2,1.7939713322391349e-4,0.022147048336963904,-0.10490514346090314,3297,0.02234438518351021,0.008831607803285462,1344.6082080358347,115388.61494476646,3176.0094706002114,-0.39788438557747297,0.18807409865566665,0.14948038394220897,"0.90 	 (0.67, 1.21)",0.6717396859685949,1.2069229434039146,M8
Contrast 3,3.2446885588665946e-4,0.02961351090306189,-0.015278283117553961,3297,0.029970426644537213,0.011908930950783825,777.917813174416,63459.54516891579,3096.878011374788,-0.35459310990210124,0.32403654366699325,0.17311968878361933,"0.98 	 (0.70, 1.38)",0.7014588017903772,1.3826978350454722,M8
Contrast 1,3.921033655458884e-5,0.0037729511990400033,-0.06042732228726779,3297,0.003816082569250051,0.011302525411163744,855.1378772119521,70451.70780261437,3113.775758585291,-0.18150509793237504,0.06065045335783944,0.06177444916185049,"0.94 	 (0.83, 1.06)",0.834013993545703,1.0625274463672318,A3
Contrast 2,2.1033986725410343e-5,0.0013523447829599051,-0.042104829365438315,3297,0.0013754821683578564,0.016821290693702234,421.6673776214556,31807.085575589408,2940.1219940754913,-0.11479774695416302,0.030588088223286375,0.037087493422417434,"0.96 	 (0.89, 1.03)",0.8915464436568646,1.031060710354698,A3
Contrast 3,4.2217274660319945e-5,0.004963880639340717,0.018322492921829477,3297,0.005010319641467069,0.00926867055387192,1229.701603167821,104762.9255409948,3165.8133151226366,-0.12041243895453738,0.15705742479819632,0.07078361139039932,"1.02 	 (0.89, 1.17)",0.886554711604306,1.1700628025920625,A3
Contrast 1,2.0623119820446217e-5,0.0025244578892384922,0.03109228713208452,3297,0.0025471433210409833,0.00890622510916253,1323.817626020059,113463.23808242712,3174.294453856411,-0.06782664400999064,0.13001121827415968,0.05046923142906957,"1.03 	 (0.93, 1.14)",0.934422447265686,1.1388411590853076,B3
Contrast 2,2.3495689296127895e-5,0.00186494274187651,-0.03768751830419794,3297,0.0018907880001022507,0.013669040751444908,607.4946694018406,48168.86718671377,3044.5462126644966,-0.12291515042244866,0.04754011381405277,0.04348319215630622,"0.96 	 (0.88, 1.05)",0.8843386951422295,1.0486882671637132,B3
Contrast 3,2.110558254613327e-5,0.004133092726059602,-0.06877980543628247,3297,0.004156308866860348,0.005585759274498754,3181.863289761935,288455.0050236387,3239.7954862555125,-0.1951381187713958,0.05757850789883083,0.06446944134130796,"0.93 	 (0.82, 1.06)",0.8227210169921485,1.0592684283290283,B3
Contrast 1,5.112994254702614e-5,0.006585906800712119,0.03550200375947936,3297,0.006642149737513848,0.008467580380501999,1453.8395056676143,125523.15698225268,3184.222576071398,-0.12423539566525034,0.19523940318420901,0.08149938489040176,"1.04 	 (0.88, 1.22)",0.8831719215700501,1.2156019706395769,C3
Contrast 2,4.510617200986659e-5,0.0039209751915643,-0.001443565569173462,3297,0.003970591980775154,0.012496068458075835,713.2932769691189,57636.25019177429,3079.950122173376,-0.12494865141610859,0.12206152027776164,0.0630126335013476,"1.00 	 (0.88, 1.13)",0.8825422187142813,1.1298236067044218,C3
Contrast 3,5.0858139813178545e-5,0.00966544258508628,-0.036945569328652825,3297,0.009721386538880775,0.005754729901002089,3006.4419059129445,271764.4341202061,3237.0186688737117,-0.2301931791821144,0.15630204052480878,0.09859709193926956,"0.96 	 (0.79, 1.17)",0.7943801299761659,1.169179289290147,C3
Contrast 1,7.779198372428387e-4,0.014453167106611394,-0.0966541561001917,3297,0.015308878927578517,0.05589643925040009,65.07758888333808,2880.5420757335232,1495.628518387218,-0.33926058596076075,0.14595227376037728,0.1237290545004629,"0.91 	 (0.71, 1.16)",0.7122968103541453,1.1571409607461411,A5
Contrast 2,1.1365409376923025e-5,0.0010129028938448484,-0.04050501392152438,3297,0.0010254048441594636,0.012192209141418015,745.6109254937809,60544.91890258821,3088.7790891809877,-0.10326812395142958,0.022258096108380823,0.032021943166514175,"0.96 	 (0.90, 1.02)",0.901885124056956,1.022507655663626,A5
Contrast 3,8.515298945048286e-4,0.015211465225404583,0.056149142178667316,3297,0.016148148109359894,0.05800559157693044,61.967048709246015,2674.8706700157804,1436.7239113585395,-0.1930267442666009,0.3053250286239355,0.12707536389623245,"1.06 	 (0.82, 1.36)",0.8244599242682393,1.3570660166312911,A5
Contrast 1,2.760534952546196e-4,0.008133696622783966,-0.06326180831072707,3297,0.008437355467564047,0.03598981291560436,121.78650061595341,6948.376315608163,2179.8896973378924,-0.2433258201530238,0.1168022035315696,0.09185507861606808,"0.94 	 (0.78, 1.12)",0.7840160239310568,1.1238971048255115,B5
Contrast 2,8.110767851221857e-6,0.0010684953812921782,0.007235029754302539,3297,0.0010774172259285222,0.008280770366053099,1515.4291539461676,131250.51816962947,3188.3372987353823,-0.05709948852661201,0.07156954803521709,0.032824034272595476,"1.01 	 (0.94, 1.07)",0.9445000977689411,1.0741928561060632,B5
Contrast 3,2.8726020563286665e-4,0.008620834503980069,0.07049683806502961,3297,0.008936820730176221,0.035357789502164776,125.09736441003251,7199.002054296704,2204.9638834257826,-0.11481904257742535,0.25581271870748457,0.09453475937546052,"1.07 	 (0.89, 1.29)",0.891527457821838,1.291510829471441,B5
Contrast 1,2.1582845835606965e-4,0.0066750616871551205,-0.05515543388881926,3297,0.006912472991346797,0.034345349991077564,130.7548087837023,7629.6851537063285,2245.419016284247,-0.21813520967478534,0.10782434189714683,0.08314128331549134,"0.95 	 (0.80, 1.11)",0.8040167234771465,1.1138520710594189,C5
Contrast 2,1.5190913580810097e-4,0.003825629993115612,0.07029119449660093,3297,0.003992730042504523,0.04185107623356727,97.38284039883663,5138.415842949084,1955.574644158188,-0.05358429266093112,0.19416668165413298,0.06318805300453974,"1.07 	 (0.95, 1.21)",0.9478260428571845,1.2142986673993712,C5
Contrast 3,5.314940399140844e-4,0.009667592341671,0.1254466283854202,3297,0.010252235785576493,0.057025945962734,63.37375129437971,2767.562982176693,1463.7599743127407,-0.07309307017177352,0.32398632694261387,0.10125332481245489,"1.13 	 (0.93, 1.38)",0.9295143159428642,1.3826284022327486,C5
